OBJECTID,NAMOBJ,FCODE,REMARK,METADATA,SRS_ID,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKK,WIADPR,WIADKD,SHAPE_Length,SHAPE_Area
1,Banggai,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"72.01","72",8252.88151507481,4, , ,Banggai,Sulawesi Tengah, , ,,0,8.49690306296307,0.670580585558599
2,Banggai Kepulauan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"72.07","72",2385.07293359873,4, , ,Banggai Kepulauan,Sulawesi Tengah, ,Banggai,,0,7.59779235749177,0.193819851822196
3,Banggai Laut,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"72.11","72",688.151175626776,4, , ,Banggai Laut,Sulawesi Tengah, ,Banggai Kepulauan,,0,10.5352783636616,0.0559325004015351
4,Bantaeng,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"73.03","73",390.969412699495,4, , ,Bantaeng,Sulawesi Selatan, , , ,0,1.09140143182309,0.0319051852439628
5,Barru,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"73.11","73",1201.90345441736,4, , ,Barru,Sulawesi Selatan, , , ,0,2.78559172711226,0.097930303217083
6,Boalemo,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"75.02","75",1830.86468089747,4, , ,Boalemo,Gorontalo, ,Gorontalo,Sulawesi Utara,0,3.37405738848279,0.148750725693187
7,Bolaang Mongondow,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"71.01","71",3291.4952620693,4, , ,Bolaang Mongondow,Sulawesi Utara, , , ,0,3.65743734598525,0.267424566356948
8,Bolaang Mongondow Selatan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"71.11","71",1773.88061185868,4, , ,Bolaang Mongondow Selatan,Sulawesi Utara, ,Bolaang Mongondow, ,0,3.76432457922774,0.144115934520644
9,Bolaang Mongondow Timur,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"71.10","71",859.973340571965,4, , ,Bolaang Mongondow Timur,Sulawesi Utara, ,Bolaang Mongondow, ,0,2.17458313089217,0.0698704220253792
10,Bolaang Mongondow Utara,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"71.08","71",1644.41939182281,4, , ,Bolaang Mongondow Utara,Sulawesi Utara, ,Bolaang Mongondow, ,0,2.46094499888961,0.13360592593578
11,Bombana,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"74.06","74",3293.96639913022,4, , ,Bombana,Sulawesi Tenggara, ,Buton, ,0,5.4716724605221,0.268524880662475
12,Bone,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"73.08","73",4567.2381364521,4, , ,Bone,Sulawesi Selatan, , , ,0,5.10839664206822,0.372265191250229
13,Bone Bolango,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"75.03","75",1888.99759975918,4, , ,Bone Bolango,Gorontalo, ,Gorontalo,Sulawesi Utara,0,2.00498598265802,0.153470592461417
14,Bulukumba,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"73.02","73",1175.52804855992,4, , ,Bulukumba,Sulawesi Selatan, , , ,0,2.07612816359521,0.0959202426206228
