Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.98,12.43,47.68,0.21,41.78,8.09,2.37,64.64,34.80,71.11,287,
aceh - aceh tenggara,6,0.33,12.83,25.28,0.07,47.30,9.94,2.33,68.48,36.70,78.47,184,
aceh - aceh timur,6,0.58,13.91,37.31,0.07,45.47,8.83,1.69,68.94,33.60,75.78,232,
aceh - aceh tengah,4,2.99,14.50,22.82,0.15,28.05,10.03,2.15,69.05,32.00,65.57,327,
aceh - aceh barat,6,0.59,17.93,28.02,0.00,18.32,10.00,1.47,68.19,30.40,79.95,159,
aceh - aceh besar,6,0.37,13.38,28.21,0.05,9.93,10.60,1.39,69.99,27.00,85.62,43,
aceh - pidie,6,0.44,18.79,49.20,0.03,35.13,9.28,0.69,67.15,27.80,75.69,234,
aceh - aceh utara,6,0.35,16.86,46.36,0.44,35.32,9.14,0.56,69.01,38.30,76.66,219,
aceh - simeulue,5,1.33,18.37,40.54,0.99,15.13,9.74,1.67,65.48,37.20,72.51,273,
aceh - aceh singkil,2,5.00,19.18,35.00,0.00,41.74,8.98,1.77,67.65,34.00,47.06,390,
aceh - bireuen,6,0.52,12.51,38.60,0.52,31.90,9.53,0.48,71.48,23.40,81.34,135,
aceh - aceh barat daya,6,0.42,15.44,52.71,0.00,21.67,9.05,1.66,65.30,35.20,76.93,211,
aceh - gayo lues,5,0.53,18.87,38.01,0.13,23.98,8.21,6.44,65.77,34.60,75.49,238,
aceh - aceh jaya,6,0.41,12.51,37.53,0.24,31.33,8.69,4.48,67.40,19.90,80.22,156,
aceh - nagan raya,6,0.98,17.38,39.15,0.00,24.01,9.30,2.15,69.45,28.80,76.29,226,
aceh - aceh tamiang,6,0.93,12.61,25.26,0.00,14.46,9.43,1.23,69.87,27.40,81.41,129,
aceh - bener meriah,2,5.00,18.39,28.86,0.17,63.44,10.20,1.20,69.48,37.00,45.67,392,
aceh - pidie jaya,6,0.33,18.45,53.29,0.10,28.80,9.85,0.47,70.41,37.80,77.69,197,
aceh - kota banda aceh,6,0.00,7.13,6.99,0.00,0.81,12.86,0.01,71.79,25.10,86.97,35,
aceh - kota sabang,6,0.00,14.66,13.27,1.02,2.49,10.98,0.19,70.79,23.40,73.88,85,
aceh - kota lhokseumawe,6,0.00,10.62,6.20,0.00,10.04,10.99,0.16,69.63,22.10,76.95,77,
aceh - kota langsa,6,0.00,10.84,14.40,0.00,2.95,11.12,0.06,71.87,28.10,80.67,62,
aceh - kota subulussalam,2,0.00,16.94,36.08,0.00,56.32,8.53,1.45,64.30,47.90,36.09,98,
sumatera utara - tapanuli tengah,5,1.42,11.71,46.02,0.72,35.65,9.23,1.42,67.58,30.50,72.18,277,
sumatera utara - tapanuli utara,6,0.33,8.93,60.01,0.56,55.03,10.18,2.40,69.16,27.40,77.29,204,
sumatera utara - tapanuli selatan,5,0.53,8.07,40.01,1.34,61.80,9.50,3.33,65.28,39.40,73.40,262,
sumatera utara - nias,5,0.75,16.00,31.90,8.30,65.38,7.20,0.83,70.06,25.30,71.38,285,
sumatera utara - langkat,6,1.36,9.49,40.49,0.21,28.61,8.82,1.71,69.39,18.60,76.89,214,
sumatera utara - karo,6,0.29,8.17,58.54,0.01,43.36,10.18,1.52,72.03,24.90,81.35,134,
sumatera utara - deli serdang,6,0.90,3.62,27.60,0.34,20.06,10.32,0.53,72.07,13.90,86.81,31,
sumatera utara - simalungun,6,0.58,8.26,39.04,0.20,44.91,9.76,1.75,71.78,17.40,81.41,130,
sumatera utara - asahan,5,2.07,8.64,29.66,0.02,27.85,8.91,1.78,68.73,15.30,73.99,254,
sumatera utara - labuhanbatu,6,1.15,8.26,30.62,0.60,39.74,9.65,1.38,70.37,23.90,77.96,191,
sumatera utara - dairi,6,0.42,7.88,27.03,0.50,36.19,10.28,2.04,69.64,28.60,82.92,104,
sumatera utara - toba samosir,6,0.31,8.89,50.04,0.40,30.95,10.66,1.97,70.76,24.80,83.09,98,
sumatera utara - mandailing natal,5,1.04,8.92,52.97,1.25,54.26,9.15,3.00,63.05,34.20,69.54,301,
sumatera utara - nias selatan,4,1.35,16.48,41.18,4.16,69.42,6.97,1.23,69.21,27.20,65.67,325,
sumatera utara - pakpak bharat,6,0.87,8.66,33.36,0.77,37.38,10.20,3.63,66.44,30.80,77.32,203,
sumatera utara - humbang hasundutan,6,0.37,8.86,50.33,0.44,48.18,10.02,3.28,70.02,29.60,78.90,180,
sumatera utara - samosir,6,0.41,11.77,41.66,0.57,49.16,9.17,2.92,71.82,26.30,78.89,181,
sumatera utara - serdang bedagai,6,0.19,7.82,37.23,0.04,34.74,9.04,1.43,69.21,21.10,83.76,80,
sumatera utara - batu bara,6,1.02,11.53,29.35,0.09,37.09,8.93,0.83,67.55,21.70,76.82,216,
sumatera utara - padang lawas utara,5,1.65,8.94,41.36,0.52,48.84,9.60,3.27,67.53,29.20,70.40,295,
sumatera utara - padang lawas,5,1.60,8.05,41.34,0.14,45.17,9.72,2.75,67.43,35.80,70.90,288,
sumatera utara - labuhanbatu selatan,3,5.00,8.09,27.13,0.20,23.32,9.26,2.88,69.16,26.40,56.18,364,
sumatera utara - labuhanbatu utara,6,0.93,9.09,36.23,0.31,29.87,9.33,2.31,69.91,7.30,81.22,139,
sumatera utara - nias utara,5,0.65,23.40,32.54,8.03,45.91,7.14,1.54,69.90,11.90,73.67,258,
sumatera utara - nias barat,4,1.57,24.75,24.74,6.80,78.41,7.28,0.58,69.43,29.40,61.20,344,
sumatera utara - kota medan,6,0.00,11.47,31.53,0.00,4.42,10.48,0.01,69.77,14.50,79.85,67,
sumatera utara - kota pematangsiantar,6,0.00,12.45,34.13,0.08,1.29,10.04,0.07,63.87,26.90,70.83,89,
sumatera utara - kota sibolga,6,0.00,7.88,13.76,0.00,8.95,11.43,0.04,74.25,14.30,87.19,33,
sumatera utara - kota tanjung balai,6,0.00,9.59,20.26,0.00,24.69,10.68,0.03,71.29,19.60,75.82,81,
sumatera utara - kota binjai,6,0.00,8.07,12.49,0.11,3.00,11.37,0.02,73.58,15.40,87.80,28,
sumatera utara - kota tebing tinggi,6,0.00,5.10,18.08,0.00,7.09,11.04,0.05,72.79,18.70,87.25,32,
sumatera utara - kota padang sidimpuan,5,0.00,6.89,28.27,0.35,38.21,10.95,0.13,69.84,28.80,69.90,90,
sumatera utara - kota gunungsitoli,5,0.00,14.81,17.94,0.29,25.20,8.44,0.27,71.71,17.70,65.13,95,
sumatera barat - pesisir selatan,6,0.40,7.11,24.11,0.20,19.50,9.01,2.78,71.25,29.80,85.95,40,
sumatera barat - solok,6,0.36,7.12,44.18,0.00,33.02,8.31,3.26,69.19,24.20,81.78,124,
sumatera barat - sijunjung,6,0.79,6.00,27.67,0.48,29.44,8.74,3.57,66.70,30.00,79.93,160,
sumatera barat - tanah datar,6,0.33,4.26,36.16,0.39,20.38,9.53,1.36,70.49,18.90,87.55,18,
sumatera barat - padang pariaman,6,0.51,6.25,28.13,0.46,30.84,8.76,0.94,69.34,25.00,83.13,96,
sumatera barat - agam,6,0.51,6.22,38.72,0.69,16.68,9.46,2.06,72.89,24.60,86.40,34,
sumatera barat - lima puluh kota,6,0.44,6.59,46.81,0.28,40.57,8.63,2.98,70.08,24.30,80.68,146,
sumatera barat - pasaman,6,0.30,6.85,42.69,0.61,37.17,8.21,2.90,67.96,28.90,80.59,149,
sumatera barat - kepulauan mentawai,2,3.17,13.97,54.54,11.19,73.70,7.98,8.20,64.93,32.00,50.91,379,
sumatera barat - dharmasraya,6,0.89,5.56,11.73,0.18,26.04,8.92,2.33,71.90,24.60,84.38,72,
sumatera barat - solok selatan,6,0.35,6.51,27.76,0.25,34.45,8.93,6.71,68.38,31.70,82.16,114,
sumatera barat - pasaman barat,6,0.55,6.93,44.76,0.15,26.54,9.61,2.22,68.25,35.50,80.67,147,
sumatera barat - kota padang,6,0.00,4.26,11.51,0.17,10.07,11.69,0.10,73.93,19.50,88.33,26,
sumatera barat - kota solok,6,0.00,3.02,11.75,0.00,1.43,11.49,0.05,74.06,18.10,92.87,4,
sumatera barat - kota sawahlunto,6,0.00,2.28,14.59,0.03,7.24,10.63,0.49,70.40,13.70,84.38,46,
sumatera barat - kota padang panjang,6,0.00,5.14,6.63,0.00,6.18,12.45,0.05,73.02,16.80,89.58,17,
sumatera barat - kota bukittinggi,6,0.00,4.46,10.39,0.00,7.04,12.01,0.02,74.82,16.80,91.78,7,
sumatera barat - kota payakumbuh,6,0.00,5.66,15.84,0.00,3.42,10.87,0.10,74.14,17.80,88.56,24,
sumatera barat - kota pariaman,6,0.00,4.13,28.81,0.21,20.69,11.08,0.08,70.67,18.40,81.57,58,
riau - kampar,3,5.00,7.12,29.57,0.16,30.10,9.52,4.52,71.12,14.50,57.59,361,
riau - indragiri hulu,3,5.00,6.14,14.99,1.54,20.61,8.44,5.13,70.48,16.70,59.35,352,
riau - bengkalis,4,4.19,6.32,24.11,0.64,44.43,9.47,4.55,71.50,8.40,61.68,340,
riau - indragiri hilir,5,1.48,5.98,28.26,4.57,69.59,7.62,6.05,68.31,28.50,69.29,306,
riau - pelalawan,5,3.35,8.97,21.26,1.00,18.55,8.96,8.43,71.53,11.20,69.49,302,
riau - rokan hulu,3,5.00,9.95,28.46,0.28,19.70,8.86,4.29,70.51,22.00,56.76,362,
riau - rokan hilir,4,3.21,6.73,25.23,0.13,36.14,8.62,3.81,70.69,14.70,67.45,314,
riau - siak,5,2.82,5.07,14.76,0.31,14.71,10.00,5.25,71.37,22.00,74.74,244,
riau - kuantan singingi,5,2.83,8.24,25.51,0.16,31.90,9.02,4.42,68.87,17.80,68.94,310,
riau - kepulauan meranti,5,0.09,23.84,15.14,1.63,94.46,8.46,5.31,68.09,17.50,70.47,293,
riau - kota pekanbaru,6,0.00,3.06,5.89,0.00,10.01,11.97,0.08,72.70,16.80,89.81,16,
riau - kota dumai,6,0.00,3.20,16.48,0.72,5.95,10.30,1.24,71.25,12.80,78.61,73,
jambi - kerinci,6,0.45,7.57,31.22,3.10,32.14,8.13,3.25,70.28,24.20,82.42,109,
jambi - merangin,5,1.93,8.70,33.83,0.00,51.24,8.01,3.50,71.53,14.50,71.66,281,
jambi - sarolangun,4,3.32,8.48,17.15,0.94,47.95,8.38,4.60,69.46,16.80,64.01,332,
jambi - batanghari,5,2.34,9.63,28.22,0.50,32.03,8.55,4.29,70.93,26.30,70.79,290,
jambi - muaro jambi,4,3.61,4.47,35.47,0.09,31.07,8.99,3.56,71.58,18.60,65.90,323,
jambi - tanjung jabung barat,4,3.11,10.00,29.35,0.78,51.22,8.54,4.27,68.43,9.90,63.59,334,
jambi - tanjung jabung timur,5,1.57,10.91,31.29,0.72,44.77,8.22,4.74,66.66,22.50,71.22,286,
jambi - bungo,4,3.69,5.38,23.03,0.58,24.82,8.34,2.70,68.13,15.40,65.60,326,
jambi - tebo,5,2.53,6.34,30.61,0.39,28.45,8.34,4.91,70.26,25.00,70.89,289,
jambi - kota jambi,6,0.00,8.33,15.43,0.00,10.54,11.11,0.04,72.99,14.00,84.66,45,
jambi - kota sungai penuh,6,0.00,2.97,15.08,0.00,7.94,10.03,0.32,72.53,26.00,83.14,53,
sumatera selatan - ogan komering ulu,5,1.80,11.61,26.09,0.00,28.16,9.09,1.67,68.55,19.90,74.36,247,
sumatera selatan - ogan komering ilir,6,0.26,13.23,42.81,0.58,43.08,7.44,6.29,69.01,15.10,79.04,177,
sumatera selatan - muara enim,5,1.72,11.12,25.08,0.38,36.49,8.14,2.65,69.38,22.80,73.22,265,
sumatera selatan - lahat,5,1.07,15.61,35.45,0.00,45.68,8.74,1.99,66.52,19.00,72.87,270,
sumatera selatan - musi rawas,6,0.47,13.34,36.72,0.29,27.52,7.77,3.82,68.62,25.40,79.56,166,
sumatera selatan - musi banyuasin,6,0.63,15.19,23.93,1.45,33.62,7.96,6.61,69.19,17.70,79.09,174,
sumatera selatan - banyuasin,6,0.17,10.00,33.73,0.05,54.97,7.55,5.32,69.43,24.80,78.91,179,
sumatera selatan - ogan komering ulu timur,6,0.16,10.05,17.01,0.00,36.25,8.33,1.46,69.48,19.10,84.52,68,
sumatera selatan - ogan komering ulu selatan,6,0.41,10.56,46.10,4.12,54.84,8.25,2.47,67.36,19.40,76.15,228,
sumatera selatan - ogan ilir,6,0.72,12.33,48.70,0.20,30.26,8.22,1.34,65.98,24.90,76.32,225,
sumatera selatan - empat lawang,5,1.30,12.03,23.04,0.25,68.72,7.70,2.35,65.45,18.50,69.27,307,
sumatera selatan - penukal abab lematang ilir,5,1.53,11.76,31.58,0.08,38.04,7.48,1.94,68.65,14.60,73.71,256,
sumatera selatan - musi rawas utara,4,2.76,18.45,38.22,0.49,43.42,7.42,6.65,66.08,20.20,60.31,346,
sumatera selatan - kota palembang,6,0.00,10.48,15.41,0.00,3.68,11.01,0.04,71.49,14.30,83.29,51,
sumatera selatan - kota pagar alam,5,0.00,11.28,14.11,0.11,37.52,10.27,0.25,70.87,12.30,68.83,91,
sumatera selatan - kota lubuklinggau,4,0.00,8.47,34.92,0.31,45.77,9.50,0.85,67.29,11.60,59.17,96,
sumatera selatan - kota prabumulih,5,0.00,12.68,25.84,0.00,34.39,9.42,0.27,69.82,11.70,66.26,93,
bengkulu - bengkulu selatan,5,0.44,17.86,36.72,0.16,58.04,9.53,1.00,68.15,23.20,74.63,245,
bengkulu - rejang lebong,5,1.13,15.65,23.55,1.10,58.18,9.01,1.21,69.00,20.20,72.67,271,
bengkulu - bengkulu utara,5,1.87,11.48,19.30,0.15,46.59,8.18,3.21,68.53,22.80,70.74,291,
bengkulu - kaur,5,0.80,18.10,43.80,0.24,43.08,8.16,3.69,67.01,12.40,73.90,255,
bengkulu - seluma,5,0.82,18.36,33.45,0.94,58.55,8.33,2.16,68.13,22.10,71.64,282,
bengkulu - mukomuko,6,1.09,11.44,23.08,0.00,34.55,8.52,3.77,67.00,22.30,76.63,221,
bengkulu - lebong,6,0.36,12.03,41.82,0.56,49.38,8.56,3.02,63.68,20.20,75.84,231,
bengkulu - kepahiang,5,1.51,14.53,29.80,0.56,55.28,8.27,0.94,68.28,24.90,69.41,305,
bengkulu - bengkulu tengah,4,3.07,9.76,24.35,0.00,58.50,7.36,1.49,68.37,21.20,61.54,342,
bengkulu - kota bengkulu,6,0.00,15.73,7.71,0.06,15.36,11.88,0.05,70.46,12.90,75.68,82,
lampung - lampung selatan,6,0.32,13.14,17.56,0.00,22.64,8.04,0.99,69.69,9.90,85.46,49,
lampung - lampung tengah,6,0.12,10.96,27.34,1.04,35.95,7.87,1.46,70.08,8.70,84.55,66,
lampung - lampung utara,5,0.18,18.41,37.32,0.00,64.11,8.50,1.25,69.57,24.70,74.94,242,
lampung - lampung barat,5,0.83,11.71,26.01,0.87,57.42,8.40,1.92,67.90,16.60,75.39,240,
lampung - tulang bawang,6,0.14,8.42,21.94,0.00,24.54,7.54,2.25,70.22,10.20,87.51,21,
lampung - tanggamus,5,0.91,10.98,34.77,0.36,55.07,7.24,2.06,68.95,20.40,74.19,250,
lampung - lampung timur,6,0.14,13.98,29.58,0.05,32.03,8.25,1.97,71.01,18.10,83.55,88,
lampung - way kanan,6,0.24,11.76,35.06,0.00,51.39,7.59,2.44,69.69,18.40,79.31,171,
lampung - pesawaran,6,0.44,13.85,34.50,0.00,44.37,8.01,1.08,69.44,25.10,77.89,192,
lampung - pringsewu,6,0.49,9.34,26.25,0.00,7.93,8.57,0.36,70.65,16.20,87.38,23,
lampung - mesuji,6,0.14,6.84,13.77,0.15,26.15,7.32,3.03,68.51,22.50,86.21,38,
lampung - tulang bawang barat,6,0.12,7.44,15.27,0.00,54.36,8.03,1.31,70.23,16.40,83.59,85,
lampung - pesisir barat,6,0.45,13.84,22.84,0.41,53.10,8.86,4.52,63.99,16.70,76.32,224,
lampung - kota bandar lampung,6,0.00,8.21,11.53,0.00,11.34,10.76,0.03,71.66,11.10,83.37,50,
lampung - kota metro,6,0.00,7.87,8.09,0.00,12.28,10.75,0.04,71.88,10.40,83.66,49,
kepulauan bangka belitung - bangka,6,1.74,4.26,20.61,0.09,14.61,8.62,1.68,71.37,16.20,81.31,137,
kepulauan bangka belitung - belitung,4,5.00,6.45,11.78,0.14,9.76,9.15,2.44,71.31,19.60,61.83,339,
kepulauan bangka belitung - bangka selatan,6,0.65,3.22,28.70,0.00,26.78,7.36,5.12,68.68,23.00,82.94,103,
kepulauan bangka belitung - bangka tengah,3,5.00,4.86,30.63,0.00,17.96,7.38,2.67,71.82,21.20,58.62,357,
kepulauan bangka belitung - bangka barat,4,4.25,2.46,20.23,0.28,22.34,7.58,3.29,70.25,20.50,63.76,333,
kepulauan bangka belitung - belitung timur,4,5.00,6.49,15.60,0.72,9.89,8.91,3.87,72.33,16.00,62.09,338,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.55,6.99,0.00,9.10,10.22,0.07,73.68,12.90,87.42,31,
kepulauan riau - bintan,3,5.00,6.44,12.14,0.00,26.43,9.67,1.27,70.76,17.80,59.58,350,
kepulauan riau - karimun,4,5.00,6.87,9.99,0.00,9.06,9.35,0.83,71.53,13.30,62.97,335,
kepulauan riau - natuna,3,5.00,5.32,13.75,0.07,14.22,9.16,2.58,65.76,18.00,59.15,354,
kepulauan riau - lingga,3,5.00,14.05,21.06,1.47,20.03,8.07,3.34,62.92,18.90,52.41,375,
kepulauan riau - kepulauan anambas,3,5.00,7.51,12.14,0.37,38.69,8.45,1.18,67.73,14.00,55.72,366,
kepulauan riau - kota batam,6,0.00,5.19,5.23,0.26,1.68,10.93,0.22,73.62,15.20,88.10,27,
kepulauan riau - kota tanjungpinang,6,0.00,9.85,9.70,0.00,22.29,10.72,0.10,72.49,15.70,77.75,75,
dki jakarta - kepulauan seribu,3,5.00,14.11,44.82,0.28,1.54,9.32,0.05,69.20,20.50,56.63,363,
dki jakarta - jakarta pusat,6,0.00,3.52,5.19,0.06,19.11,11.35,0.01,74.49,11.90,88.64,23,
dki jakarta - jakarta utara,6,0.00,4.30,9.85,0.00,12.95,11.62,0.01,74.83,14.40,90.21,14,
dki jakarta - jakarta barat,6,0.00,4.90,8.22,0.35,4.13,11.39,0.00,74.48,14.00,91.00,11,
dki jakarta - jakarta selatan,6,0.00,4.22,5.30,0.16,1.90,10.83,0.01,73.81,15.20,90.84,12,
dki jakarta - jakarta timur,6,0.00,7.24,14.41,0.00,4.88,10.24,0.02,73.47,18.50,85.46,41,
jawa barat - bogor,5,2.66,7.73,25.63,0.05,31.34,8.59,0.30,71.65,24.90,70.57,292,
jawa barat - sukabumi,6,0.71,7.34,44.37,0.09,46.91,7.44,0.90,71.54,27.50,77.65,199,
jawa barat - cianjur,6,0.71,10.55,40.06,0.11,40.47,7.34,0.87,70.58,13.60,78.99,178,
jawa barat - bandung,6,1.39,6.80,17.03,0.00,20.49,9.27,0.32,74.01,25.00,82.48,108,
jawa barat - garut,6,0.50,10.42,51.21,0.00,48.49,8.14,0.61,71.85,23.60,78.04,190,
jawa barat - tasikmalaya,6,0.78,10.73,53.09,0.00,42.37,8.08,1.03,69.95,27.20,75.68,235,
jawa barat - ciamis,6,0.69,7.72,39.79,0.05,31.39,8.37,0.65,72.30,18.60,82.36,110,
jawa barat - kuningan,6,0.60,12.76,45.02,0.00,33.02,8.19,0.39,74.03,19.40,80.95,141,
jawa barat - cirebon,6,0.87,12.01,34.26,0.00,18.07,7.91,0.18,72.47,18.60,82.03,117,
