Kabupaten/Kota,Provinsi,KATEGORI,NCPR,ENERGI,PROHE,CBPK,MISKIN,CVHARGA,POU,RLSP,TNPAIR,TNPLISTRIK,NAKES,AHH,AMANPANGN,PPH,STUNTING,BANSOS,IKP
Aceh Selatan,Aceh,Sangat Tahan,0.91,94.4,73.7,100.0,12.1,7.4,13.7,8.5,34.0,0.0,2.22,64.81,65.2,69.8,40.2,1159688400000.0,70.13
Aceh Tenggara,Aceh,Tahan,0.55,103.1,92.2,0.0,12.5,8.9,13.0,10.13,44.2,0.0,2.2,68.65,40.0,82.7,32.9,1159688400000.0,64.98
Aceh Timur,Aceh,Sangat Tahan,0.77,95.3,92.1,0.0,13.4,7.3,8.6,8.99,38.7,0.45,1.68,69.07,87.2,79.2,29.7,1159688400000.0,67.8
Aceh Tengah,Aceh,Tahan,2.87,98.2,81.6,0.0,14.4,5.7,8.6,10.04,26.3,0.08,2.16,69.18,70.5,84.1,23.6,1159688400000.0,67.62
Aceh Barat,Aceh,Sangat Tahan,0.71,97.7,101.5,12.0,17.9,9.5,6.2,10.27,23.4,0.0,1.46,68.34,71.3,83.4,33.4,1159688400000.0,68.78
Aceh Besar,Aceh,Sangat Tahan,0.5,90.1,83.7,25.8,13.4,5.5,8.6,10.87,10.1,0.43,1.38,70.14,76.7,75.1,30.1,1159688400000.0,71.73
Pidie,Aceh,Tahan,0.38,98.6,72.1,0.0,18.8,4.8,9.1,9.29,31.5,0.09,0.7,67.29,16.3,71.7,29.5,1159688400000.0,62.52
Aceh Utara,Aceh,Tahan,0.5,91.8,89.9,0.0,16.6,6.9,14.2,9.37,37.1,0.01,0.56,69.15,62.0,80.8,25.2,1159688400000.0,65.61
Simeulue,Aceh,Tahan,0.82,96.2,82.8,0.0,17.9,16.5,10.9,9.91,17.8,0.13,1.68,65.61,35.3,69.6,30.7,1159688400000.0,57.46
Aceh Singkil,Aceh,Tahan,9.07,104.2,94.2,0.0,19.2,6.6,7.3,9.02,40.3,0.0,1.74,67.78,31.5,91.1,34.1,1159688400000.0,58.07
Bireuen,Aceh,Sangat Tahan,0.62,99.8,89.7,0.0,12.1,4.5,7.6,9.67,27.7,0.01,0.46,71.66,86.4,83.1,32.9,1159688400000.0,71.74
Aceh Barat Daya,Aceh,Tahan,0.57,99.7,90.9,0.0,15.4,11.6,9.6,9.2,24.2,0.0,1.7,65.48,39.7,72.6,27.9,1159688400000.0,62.74
